epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4023.79,0.83601,0.72102,1.19776,0.83434,0.91163,0.93239,0.74804,0.72551,0.6071,1.29284,0.000813601,0.000813601,0.000813601
89,4070.13,0.82002,0.7191,1.18444,0.84886,0.87567,0.9262,0.73953,0.70754,0.65319,1.27825,0.000806528,0.000806528,0.000806528
90,4115.07,0.80743,0.7158,1.18385,0.85657,0.85102,0.90916,0.73202,0.71367,0.68928,1.28802,0.000799454,0.000799454,0.000799454
91,4161.1,0.79953,0.69477,1.17706,0.82715,0.87166,0.90831,0.72741,0.73983,0.68505,1.30621,0.00079238,0.00079238,0.00079238
92,4206.28,0.8135,0.70472,1.18767,0.84372,0.86585,0.91485,0.73824,0.72414,0.67997,1.30299,0.000785307,0.000785307,0.000785307
93,4251.54,0.80158,0.68914,1.17743,0.85711,0.86645,0.93016,0.74898,0.72854,0.6105,1.28969,0.000778233,0.000778233,0.000778233
94,4296.94,0.80991,0.70893,1.18969,0.87335,0.86263,0.91437,0.73829,0.73159,0.60686,1.28897,0.00077116,0.00077116,0.00077116
95,4343.08,0.80185,0.69511,1.18351,0.81714,0.80906,0.88388,0.71495,0.72911,0.78745,1.28299,0.000764086,0.000764086,0.000764086
96,4388.93,0.81538,0.699,1.18776,0.8532,0.88628,0.92299,0.73041,0.72517,0.62675,1.27536,0.000757013,0.000757013,0.000757013
97,4433.87,0.80781,0.68527,1.17972,0.86098,0.86615,0.92752,0.74244,0.72058,0.62441,1.26614,0.000749939,0.000749939,0.000749939
98,4480.2,0.80181,0.6704,1.17536,0.8105,0.84986,0.88677,0.71556,0.70397,0.74003,1.26384,0.000742866,0.000742866,0.000742866
99,4525.34,0.80606,0.67982,1.18938,0.87453,0.83687,0.91279,0.73325,0.71404,0.66285,1.27571,0.000735792,0.000735792,0.000735792
